"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","PASSCAR","TOT","PC_CHG","M","2019-01",15.134253186759,
"BEL","PASSCAR","TOT","PC_CHG","M","2019-02",6.43727691261979,
"BEL","PASSCAR","TOT","PC_CHG","M","2019-03",-1.71059479688695,
"BEL","PASSCAR","TOT","PC_CHG","M","2019-04",-1.30204772633479,
"BEL","PASSCAR","TOT","PC_CHG","M","2019-05",1.59154828225391,
"BEL","PASSCAR","TOT","PC_CHG","M","2019-06",1.0942759389309,
"BEL","PASSCAR","TOT","PC_CHG","M","2019-07",6.99207629157373,
"BEL","PASSCAR","TOT","PC_CHG","M","2019-08",11.5590900303958,
"BEL","PASSCAR","TOT","PC_CHG","M","2019-09",-25.3410399080881,
"BEL","PASSCAR","TOT","PC_CHG","M","2019-10",5.61757852639766,
"BEL","PASSCAR","TOT","PC_CHG","M","2019-11",0.148336303156598,
"BEL","PASSCAR","TOT","PC_CHG","M","2019-12",18.8728811819389,
"BEL","PASSCAR","TOT","PC_CHG","M","2020-01",-14.2065382783642,
"BEL","PASSCAR","TOT","PC_CHG","M","2020-02",-1.61544195992724,
"BEL","PASSCAR","TOT","PC_CHG","M","2020-03",-48.1085541771219,
"BEL","PASSCAR","TOT","PC_CHG","M","2020-04",-80.2918687222225,
"BEL","PASSCAR","TOT","PC_CHG","M","2020-05",671.486280895042,
"BEL","PASSCAR","TOT","PC_CHG","M","2020-06",18.9361773991703,
"BEL","PASSCAR","TOT","PC_CHG","M","2020-07",17.8061279360777,
"BEL","PASSCAR","TOT","PC_CHG","M","2020-08",-10.0376576585312,
"BEL","PASSCAR","TOT","PC_CHG","M","2020-09",-8.64593477884519,
"BEL","PASSCAR","TOT","PC_CHG","M","2020-10",4.8401617685567,
"BEL","PASSCAR","TOT","PC_CHG","M","2020-11",-11.5496528939385,
"BEL","PASSCAR","TOT","PC_CHG","M","2020-12",19.812727860336,
"BEL","PASSCAR","TOT","PC_CHG","M","2021-01",-18.58965012316,
"BEL","PASSCAR","TOT","PC_CHG","M","2021-02",-4.62915287716152,
"BEL","PASSCAR","TOT","PC_CHG","M","2021-03",-1.98404111312235,
"BEL","PASSCAR","TOT","PC_CHG","M","2021-04",-6.48870078664518,
"BEL","PASSCAR","TOT","PC_CHG","M","2021-05",10.1051464430268,
"BEL","PASSCAR","TOT","PC_CHG","M","2021-06",-0.730664942061328,
"BEL","PASSCAR","TOT","PC_CHG","M","2021-07",-8.61196761006586,
